year,month,total_assets,count,month_year
2004,7,0.0,0.0,2004-07
2004,8,0.0,0.0,2004-08
2004,9,0.0,0.0,2004-09
2004,10,0.0,0.0,2004-10
2004,11,0.0,0.0,2004-11
2004,12,0.0,0.0,2004-12
2005,1,0.0,0.0,2005-01
2005,2,0.0,0.0,2005-02
2005,3,0.0,0.0,2005-03
2005,4,0.0,0.0,2005-04
2005,5,0.0,0.0,2005-05
2005,6,0.0,0.0,2005-06
2005,7,0.0,0.0,2005-07
2005,8,0.0,0.0,2005-08
2005,9,0.0,0.0,2005-09
2005,10,0.0,0.0,2005-10
2005,11,0.0,0.0,2005-11
2005,12,0.0,0.0,2005-12
2006,1,0.0,0.0,2006-01
2006,2,0.0,0.0,2006-02
2006,3,0.0,0.0,2006-03
2006,4,0.0,0.0,2006-04
2006,5,0.0,0.0,2006-05
2006,6,0.0,0.0,2006-06
2006,7,0.0,0.0,2006-07
2006,8,0.0,0.0,2006-08
2006,9,0.0,0.0,2006-09
2006,10,0.0,0.0,2006-10
2006,11,0.0,0.0,2006-11
2006,12,0.0,0.0,2006-12
2007,1,0.0,0.0,2007-01
2007,2,15760.0,1.0,2007-02
2007,3,0.0,0.0,2007-03
2007,4,0.0,0.0,2007-04
2007,5,0.0,0.0,2007-05
2007,6,0.0,0.0,2007-06
2007,7,0.0,0.0,2007-07
2007,8,0.0,0.0,2007-08
2007,9,2473806.0,1.0,2007-09
2007,10,125362.0,1.0,2007-10
2007,11,0.0,0.0,2007-11
2007,12,0.0,0.0,2007-12
2008,1,52824.0,1.0,2008-01
2008,2,0.0,0.0,2008-02
2008,3,18682.0,1.0,2008-03
2008,4,0.0,0.0,2008-04
2008,5,1948461.0,2.0,2008-05
2008,6,0.0,0.0,2008-06
2008,7,34365033.0,3.0,2008-07
2008,8,2101195.0,3.0,2008-08
2008,9,309082699.0,3.0,2008-09
2008,10,775523.0,4.0,2008-10
2008,11,1328788918.0,10.0,2008-11
2008,12,854139.0,3.0,2008-12
2009,1,1920008474.0,14.0,2009-01
2009,2,4741043.0,10.0,2009-02
2009,3,2230392.0,5.0,2009-03
2009,4,4697072.0,8.0,2009-04
2009,5,18910674.0,7.0,2009-05
2009,6,2762681.0,9.0,2009-06
2009,7,9814717.0,24.0,2009-07
2009,8,44364839.0,15.0,2009-08
2009,9,14616820.0,11.0,2009-09
2009,10,21856063.0,20.0,2009-10
2009,11,14857146.0,9.0,2009-11
2009,12,28331422.0,16.0,2009-12
2010,1,10192694.0,15.0,2010-01
2010,2,5020314.0,7.0,2010-02
2010,3,6926641.0,19.0,2010-03
2010,4,36124808.0,23.0,2010-04
2010,5,6252927.0,14.0,2010-05
2010,6,4878634.0,8.0,2010-06
2010,7,6744707.0,22.0,2010-07
2010,8,5172434.0,10.0,2010-08
2010,9,1968901.0,9.0,2010-09
2010,10,4333306.0,12.0,2010-10
2010,11,2877836.0,10.0,2010-11
2010,12,1591786.0,8.0,2010-12
2011,1,6963034.0,11.0,2011-01
2011,2,2432361.0,12.0,2011-02
2011,3,443675.0,3.0,2011-03
2011,4,6724110.0,13.0,2011-04
2011,5,1918472.0,5.0,2011-05
2011,6,750473.0,4.0,2011-06
2011,7,5853755.0,13.0,2011-07
2011,8,3249934.0,7.0,2011-08
2011,9,2063707.0,6.0,2011-09
2011,10,3393377.0,11.0,2011-10
2011,11,841251.0,5.0,2011-11
2011,12,288848.0,2.0,2011-12
2012,1,2380716.0,7.0,2012-01
2012,2,989426.0,4.0,2012-02
2012,3,1397545.0,5.0,2012-03
2012,4,1400945.0,6.0,2012-04
2012,5,152579.0,2.0,2012-05
2012,6,1159322.0,7.0,2012-06
2012,7,1073796.0,8.0,2012-07
2012,8,83679.0,1.0,2012-08
2012,9,826627.0,3.0,2012-09
2012,10,835900.0,4.0,2012-10
2012,11,1273997.0,3.0,2012-11
2012,12,42816.0,1.0,2012-12
2013,1,141561.0,2.0,2013-01
2013,2,58422.0,1.0,2013-02
2013,3,258840.0,1.0,2013-03
2013,4,703468.0,6.0,2013-04
2013,5,248247.0,4.0,2013-05
2013,6,457434.0,2.0,2013-06
2013,7,0.0,0.0,2013-07
2013,8,879966.0,4.0,2013-08
2013,9,3112132.0,2.0,2013-09
2013,10,24724.0,1.0,2013-10
2013,11,0.0,0.0,2013-11
2013,12,159257.0,1.0,2013-12
2014,1,524057.0,3.0,2014-01
2014,2,193758.0,2.0,2014-02
2014,3,0.0,0.0,2014-03
2014,4,49498.0,1.0,2014-04
2014,5,242856.0,3.0,2014-05
2014,6,561101.0,3.0,2014-06
2014,7,244232.0,2.0,2014-07
2014,8,0.0,0.0,2014-08
2014,9,0.0,0.0,2014-09
2014,10,998471.0,2.0,2014-10
2014,11,80736.0,1.0,2014-11
2014,12,18794.0,1.0,2014-12
2015,1,128531.0,2.0,2015-01
2015,2,6170826.0,2.0,2015-02
2015,3,0.0,0.0,2015-03
2015,4,0.0,0.0,2015-04
2015,5,90034.0,1.0,2015-05
2015,6,0.0,0.0,2015-06
2015,7,26760.0,1.0,2015-07
2015,8,0.0,0.0,2015-08
2015,9,0.0,0.0,2015-09
2015,10,289887.0,2.0,2015-10
2015,11,0.0,0.0,2015-11
2015,12,0.0,0.0,2015-12
2016,1,0.0,0.0,2016-01
2016,2,0.0,0.0,2016-02
2016,3,67115.0,1.0,2016-03
2016,4,18998.0,1.0,2016-04
2016,5,103307.0,1.0,2016-05
2016,6,0.0,0.0,2016-06
2016,7,0.0,0.0,2016-07
2016,8,21426.0,1.0,2016-08
2016,9,66336.0,1.0,2016-09
2016,10,0.0,0.0,2016-10
2016,11,0.0,0.0,2016-11
2016,12,0.0,0.0,2016-12
2017,1,422032.0,2.0,2017-01
2017,2,0.0,0.0,2017-02
2017,3,68208.0,1.0,2017-03
2017,4,3325870.0,1.0,2017-04
2017,5,1066270.0,2.0,2017-05
2017,6,0.0,0.0,2017-06
2017,7,0.0,0.0,2017-07
2017,8,0.0,0.0,2017-08
2017,9,0.0,0.0,2017-09
2017,10,33012.0,1.0,2017-10
2017,11,0.0,0.0,2017-11
2017,12,166345.0,1.0,2017-12
2018,1,0.0,0.0,2018-01
2018,2,0.0,0.0,2018-02
2018,3,0.0,0.0,2018-03
2018,4,0.0,0.0,2018-04
2018,5,0.0,0.0,2018-05
2018,6,0.0,0.0,2018-06
2018,7,0.0,0.0,2018-07
2018,8,0.0,0.0,2018-08
2018,9,0.0,0.0,2018-09
2018,10,0.0,0.0,2018-10
2018,11,0.0,0.0,2018-11
2018,12,0.0,0.0,2018-12
2019,1,0.0,0.0,2019-01
2019,2,0.0,0.0,2019-02
2019,3,0.0,0.0,2019-03
2019,4,0.0,0.0,2019-04
2019,5,36738.0,1.0,2019-05
2019,6,0.0,0.0,2019-06
2019,7,0.0,0.0,2019-07
2019,8,0.0,0.0,2019-08
2019,9,0.0,0.0,2019-09
2019,10,51455.0,2.0,2019-10
2019,11,120574.0,1.0,2019-11
2019,12,0.0,0.0,2019-12
2020,1,0.0,0.0,2020-01
2020,2,100879.0,1.0,2020-02
2020,3,0.0,0.0,2020-03
2020,4,151808.0,1.0,2020-04
2020,5,0.0,0.0,2020-05
2020,6,0.0,0.0,2020-06
2020,7,0.0,0.0,2020-07
2020,8,0.0,0.0,2020-08
2020,9,0.0,0.0,2020-09
2020,10,202299.0,2.0,2020-10
2020,11,0.0,0.0,2020-11
2020,12,0.0,0.0,2020-12
2021,1,0.0,0.0,2021-01
2021,2,0.0,0.0,2021-02
2021,3,0.0,0.0,2021-03
2021,4,0.0,0.0,2021-04
2021,5,0.0,0.0,2021-05
2021,6,0.0,0.0,2021-06
2021,7,0.0,0.0,2021-07
2021,8,0.0,0.0,2021-08
2021,9,0.0,0.0,2021-09
2021,10,0.0,0.0,2021-10
2021,11,0.0,0.0,2021-11
2021,12,0.0,0.0,2021-12
2022,1,0.0,0.0,2022-01
2022,2,0.0,0.0,2022-02
2022,3,0.0,0.0,2022-03
2022,4,0.0,0.0,2022-04
2022,5,0.0,0.0,2022-05
2022,6,0.0,0.0,2022-06
2022,7,0.0,0.0,2022-07
2022,8,0.0,0.0,2022-08
2022,9,0.0,0.0,2022-09
2022,10,0.0,0.0,2022-10
2022,11,0.0,0.0,2022-11
2022,12,0.0,0.0,2022-12
