bank_name,city,state,cert,acquiring_institution,closing_date,fund,total_assets,total_liabilities,net_worth_deficit
Chestatee State Bank,Dawsonville,GA,34578,Bank of the Ozarks,17-Dec-10,10320,,,
Chipola Community Bank,Marianna,FL,58034,First Federal Bank of Florida,19-Apr-13,10473,1536.0,48923.0,-47387.0
Citizens Bank and Trust Company of Chicago,Chicago,IL,34658,Republic Bank of Chicago,23-Apr-10,10220,,,
Citizens Bank of Effingham,Springfield,GA,34601,Heritage Bank of the South,18-Feb-11,10344,,,
Citizens Bank of Northern California,Nevada City,CA,33983,Tri Counties Bank,23-Sep-11,10397,,,
Citizens Community Bank,Ridgewood,NJ,57563,North Jersey Community Bank,1-May-09,10058,,,
Citizens First National Bank,Princeton,IL,3731,Heartland Bank and Trust Company,2-Nov-12,10464,1149.0,22218.0,-21069.0
Citizens National Bank,Teague,TX,25222,U.S. Bank N.A.,30-Oct-09,10141,,,
Citizens National Bank,Macomb,IL,5757,Morton Community Bank,22-May-09,10063,,,
Citizens State Bank,New Baltimore,MI,1006,No Acquirer,18-Dec-09,10162,,,
City Bank,Lynnwood,WA,21521,Whidbey Island Bank,16-Apr-10,10212,,,
City National Bank of New Jersey,Newark,NJ,21111,Industrial Bank,1-Nov-19,10534,2436.0,35573.0,-33137.0
Coastal Bank,Cocoa Beach,FL,34898,"Florida Community Bank, a division of Premier American Bank, N.A.",6-May-11,10364,,,
Coastal Community Bank,Panama City Beach,FL,9619,Centennial Bank,30-Jul-10,10272,,,
Colonial Bank,Montgomery,AL,9609,"Branch Banking & Trust Company, (BB&T)",14-Aug-09,10103,,,
Colorado Capital Bank,Castle Rock,CO,34522,First-Citizens Bank & Trust Company,8-Jul-11,10373,,,
Colorado National Bank,Colorado Springs,CO,18896,Herring Bank,20-Mar-09,10045,,,
Columbia River Bank,The Dalles,OR,22469,Columbia State Bank,22-Jan-10,10176,,,
Columbia Savings Bank,Cincinnati,OH,32284,"United Fidelity Bank, fsb",23-May-14,10499,2471.0,26244.0,-23773.0
Columbian Bank & Trust,Topeka,KS,22728,Citizens Bank & Trust,22-Aug-08,10011,,,
Commerce Bank of Southwest Florida,Fort Myers,FL,58016,Central Bank,20-Nov-09,10151,,,
Community Bank,Loganville,GA,16490,Bank of Essex,21-Nov-08,10022,,,
Community Bank and Trust,Cornelia,GA,5702,SCBT National Association,29-Jan-10,10180,,,
Community Bank of Arizona,Phoenix,AZ,57645,MidFirst Bank,14-Aug-09,10101,,,
Community Bank of Lemont,Lemont,IL,35291,U.S. Bank N.A.,30-Oct-09,10137,,,
Community Bank of Nevada,Las Vegas,NV,34043,No Acquirer,14-Aug-09,10100,,,
Community Bank of Rockmart,Rockmart,GA,57860,Century Bank of Georgia,10-Nov-11,10412,152049.0,14809674.0,-14657625.0
Community Bank of West Georgia,Villa Rica,GA,57436,No Acquirer,26-Jun-09,10068,,,
Community Bank of the Ozarks,Sunrise Beach,MO,27331,Bank of Sullivan,14-Dec-12,10467,0.0,115735.0,-115735.0
Community Banks of Colorado,Greenwood Village,CO,21132,"Bank Midwest, N.A.",21-Oct-11,10405,,,
Community Capital Bank,Jonesboro,GA,57036,State Bank and Trust Company,21-Oct-11,10406,,,
Community Central Bank,Mount Clemens,MI,34234,Talmer Bank & Trust,29-Apr-11,10359,,,
Community First Bank,Prineville,OR,23268,Home Federal Bank,7-Aug-09,10092,,,
Community First Bank Chicago,Chicago,IL,57948,Northbrook Bank & Trust Company,4-Feb-11,10337,,,
Community National Bank,Lino Lakes,MN,23306,Farmers & Merchants Savings Bank,17-Dec-10,10321,,,
Community National Bank at Bartow,Bartow,FL,25266,"CenterState Bank of Florida, N.A.",20-Aug-10,10279,,,
Community National Bank of Sarasota County,Venice,FL,27183,"Stearns Bank, N.A.",7-Aug-09,10099,,,
Community Security Bank,New Prague,MN,34486,Roundbank,23-Jul-10,10264,,,
Community South Bank,Parsons,TN,19849,"CB&S Bank, Inc.",23-Aug-13,10486,1296.0,153215.0,-151919.0
CommunitySouth Bank & Trust,Easley,SC,57868,"CertusBank, National Association",21-Jan-11,10328,,,
Connecticut Bank of Commerce,Stamford,CT,19183,Hudson United Bank,26-Jun-02,4656,,,
Cooperative Bank,Wilmington,NC,27837,First Bank,19-Jun-09,10065,,,
Copper Star Bank,Scottsdale,AZ,35463,"Stearns Bank, N.A.",12-Nov-10,10311,,,
Corn Belt Bank & Trust Co.,Pittsfield,IL,16500,The Carlinville National Bank,13-Feb-09,10037,,,
Cortez Community Bank,Brooksville,FL,57625,"Florida Community Bank, a division of Premier American Bank, N.A.",29-Apr-11,10360,,,
"Corus Bank, N.A.",Chicago,IL,13693,"MB Financial Bank, N.A.",11-Sep-09,10117,,,
Country Bank,Aledo,IL,35395,Blackhawk Bank & Trust,14-Oct-11,10402,,,
County Bank,Merced,CA,22574,Westamerica Bank,6-Feb-09,10034,,,
Covenant Bank,Chicago,IL,22476,Liberty Bank and Trust Company,15-Feb-13,10470,8443.0,97118.0,-88675.0
Covenant Bank & Trust,Rock Spring,GA,58068,"Stearns Bank, N.A.",23-Mar-12,10430,14185.0,693221.0,-679036.0
CreekSide Bank,Woodstock,GA,58226,Georgia Commerce Bank,2-Sep-11,10393,,,
Crescent Bank and Trust Company,Jasper,GA,27559,Renasant Bank,23-Jul-10,10265,,,
Darby Bank & Trust Co.,Vidalia,GA,14580,Ameris Bank,12-Nov-10,10312,,,
Decatur First Bank,Decatur,GA,34392,Fidelity Bank,21-Oct-11,10407,,,
Desert Hills Bank,Phoenix,AZ,57060,New York Community Bank,26-Mar-10,10205,,,
Dollar Savings Bank,Newark,NJ,31330,No Acquirer,14-Feb-04,6006,,,
Doral Bank,San Juan,PR,32102,Banco Popular de Puerto Rico,27-Feb-15,10513,3746.0,483341.0,-479595.0
Douglas County Bank,Douglasville,GA,21649,Hamilton State Bank,26-Apr-13,10476,2329.0,249946.0,-247617.0
Douglass National Bank,Kansas City,MO,24660,Liberty Bank and Trust Company,25-Jan-08,10003,,,
Downey Savings & Loan,Newport Beach,CA,30968,"U.S. Bank, N.A.",21-Nov-08,10023,,,
DuPage National Bank,West Chicago,IL,5732,Republic Bank of Chicago,17-Jan-14,10492,3308.0,138095.0,-134787.0
Dwelling House Savings and Loan Association,Pittsburgh,PA,31559,"PNC Bank, N.A.",14-Aug-09,10104,,,
Earthstar Bank,Southampton,PA,35561,Polonia Bank,10-Dec-10,10317,,,
Eastside Commercial Bank,Conyers,GA,58125,Community & Southern Bank,18-Jul-14,10504,1078.0,111669.0,-110591.0
Edgebrook Bank,Chicago,IL,57772,Republic Bank of Chicago,8-May-15,10514,52437.0,2819515.0,-2767078.0
Enterprise Banking Company,McDonough,GA,19758,No Acquirer,21-Jan-11,10329,,,
Ericson State Bank,Ericson,NE,18265,Farmers and Merchants Bank,14-Feb-20,10535,997.0,116483.0,-115486.0
Eurobank,San Juan,PR,27150,Oriental Bank and Trust,30-Apr-10,10229,,,
Evergreen Bank,Seattle,WA,20501,Umpqua Bank,22-Jan-10,10172,,,
Evergreen State Bank,Stoughton,WI,5328,McFarland State Bank,28-Jan-11,10332,,,
Excel Bank,Sedalia,MO,19189,Simmons First National Bank,19-Oct-12,10460,0.0,5146.0,-5146.0
Farmers Bank of Cheneyville,Cheneyville,LA,16445,Sabine State Bank & Trust,17-Dec-02,4659,,,
Farmers' and Traders' State Bank,Shabbona,IL,9257,First State Bank,8-Jun-12,10442,3054.0,13071.0,-10017.0
Fayette County Bank,Saint Elmo,IL,1802,"United Fidelity Bank, fsb",26-May-17,10528,2988.0,74562.0,-71574.0
Fidelity Bank,Dearborn,MI,33883,The Huntington National Bank,30-Mar-12,10432,1611.0,41211.0,-39600.0
FirsTier Bank,Louisville,CO,57646,No Acquirer,28-Jan-11,10334,,,
First Alliance Bank & Trust Co.,Manchester,NH,34264,Southern New Hampshire Bank & Trust,2-Feb-01,4647,,,
"First Arizona Savings, A FSB",Scottsdale,AZ,32582,No Acquirer,22-Oct-10,10306,,,
First Bank of Beverly Hills,Calabasas,CA,32069,No Acquirer,24-Apr-09,10054,,,
First Bank of Idaho,Ketchum,ID,34396,"U.S. Bank, N.A.",24-Apr-09,10055,,,
First Bank of Jacksonville,Jacksonville,FL,27573,Ameris Bank,22-Oct-10,10300,,,
First Bank of Kansas City,Kansas City,MO,25231,Great American Bank,4-Sep-09,10112,,,
First BankAmericano,Elizabeth,NJ,34270,Crown Bank,31-Jul-09,10097,,,
First Banking Center,Burlington,WI,5287,First Michigan Bank,19-Nov-10,10315,,,
First Capital Bank,Kingfisher,OK,416,F & M Bank,8-Jun-12,10443,5365.0,74284.0,-68919.0
First Cherokee State Bank,Woodstock,GA,32711,Community & Southern Bank,20-Jul-12,10450,1073.0,89910.0,-88837.0
First Chicago Bank & Trust,Chicago,IL,27935,Northbrook Bank & Trust Company,8-Jul-11,10374,,,
First Choice Bank,Geneva,IL,57212,Inland Bank & Trust,19-Aug-11,10390,,,
First Choice Community Bank,Dallas,GA,58539,Bank of the Ozarks,29-Apr-11,10361,,,
First City Bank of Florida,Fort Walton Beach,FL,16748,"United Fidelity Bank, fsb",16-Oct-20,10537,0.0,212129.0,-212129.0
First Commerce Community Bank,Douglasville,GA,57448,Community & Southern Bank,17-Sep-10,10289,,,
First Commercial Bank,Bloomington,MN,35246,Republic Bank & Trust Company,7-Sep-12,10457,4683.0,71084.0,-66401.0
First Commercial Bank of Florida,Orlando,FL,34965,First Southern Bank,7-Jan-11,10325,,,
First Commercial Bank of Tampa Bay,Tampa,FL,27583,Stonegate Bank,17-Jun-11,10370,,,
First Community Bank,Taos,NM,12261,"U.S. Bank, N.A.",28-Jan-11,10333,,,
First Community Bank of Southwest Florida (also operating as Community Bank of Cape Coral),Fort Myers,FL,34943,C1 Bank,2-Aug-13,10484,6071.0,241320.0,-235249.0
First CornerStone Bank,King of Prussia,PA,35312,First-Citizens Bank & Trust Company,6-May-16,10520,1186.0,72623.0,-71437.0
First Coweta Bank,Newnan,GA,57702,United Bank,21-Aug-09,10108,,,
First DuPage Bank,Westmont,IL,35038,First Midwest Bank,23-Oct-09,10128,,,
First East Side Savings Bank,Tamarac,FL,28144,Stearns Bank N.A.,19-Oct-12,10461,8086.0,220428.0,-212342.0
First Federal Bank,Lexington,KY,29594,Your Community Bank,19-Apr-13,10474,14079.0,297814.0,-283735.0
"First Federal Bank of California, F.S.B.",Santa Monica,CA,28536,"OneWest Bank, FSB",18-Dec-09,10167,,,
First Federal Bank of North Florida,Palatka,FL,28886,"TD Bank, N.A.",16-Apr-10,10213,,,
First Georgia Banking Company,Franklin,GA,57647,"CertusBank, National Association",20-May-11,10366,,,
First Georgia Community Bank,Jackson,GA,34301,United Bank,5-Dec-08,10025,,,
First Guaranty Bank and Trust Company of Jacksonville,Jacksonville,FL,16579,"CenterState Bank of Florida, N.A.",27-Jan-12,10421,1617.0,81377.0,-79760.0
First Heritage Bank,Snohomish,WA,23626,Columbia State Bank,27-May-11,10368,,,
"First Heritage Bank, NA",Newport Beach,CA,57961,Mutual of Omaha Bank,25-Jul-08,10009,,,
"First Integrity Bank, NA",Staples,MN,12736,First International Bank and Trust,30-May-08,10006,,,
First International Bank,Plano,TX,33513,American First National Bank,30-Sep-11,10398,,,
First Lowndes Bank,Fort Deposit,AL,24957,First Citizens Bank,19-Mar-10,10204,,,
First NBC Bank,New Orleans,LA,58302,Whitney Bank,28-Apr-17,10526,3281.0,61321.0,-58040.0
First National Bank,Savannah,GA,34152,"The Savannah Bank, N.A.",25-Jun-10,10251,,,
First National Bank,Rosedale,MS,15814,The Jefferson Bank,4-Jun-10,10247,,,
First National Bank also operating as The National Bank of El Paso,Edinburg,TX,14318,PlainsCapital Bank,13-Sep-13,10488,1156.0,623950.0,-622794.0
First National Bank of Anthony,Anthony,KS,4614,Bank of Kansas,19-Jun-09,10066,,,
First National Bank of Blanchardville,Blanchardville,WI,11639,The Park Bank,9-May-03,4661,,,
First National Bank of Central Florida,Winter Park,FL,26297,"Florida Community Bank, a division of Premier American Bank, N.A.",29-Apr-11,10362,,,
First National Bank of Crestview,Crestview,FL,17557,First NBC Bank,16-Jan-15,10510,1188.0,21617.0,-20429.0
First National Bank of Danville,Danville,IL,3644,"First Financial Bank, N.A.",2-Jul-09,10078,,,
First National Bank of Davis,Davis,OK,4077,The Pauls Valley National Bank,11-Mar-11,10349,,,
First National Bank of Georgia,Carrollton,GA,16480,Community & Southern Bank,29-Jan-10,10179,,,
First National Bank of Nevada,Reno,NV,27011,Mutual of Omaha Bank,25-Jul-08,10008,,,
First National Bank of the South,Spartanburg,SC,35383,NAFH National Bank,16-Jul-10,10263,,,
First Peoples Bank,Port St. Lucie,FL,34870,"Premier American Bank, N.A.",15-Jul-11,10376,,,
First Piedmont Bank,Winder,GA,34594,First American Bank and Trust Company,17-Jul-09,10084,,,
First Priority Bank,Bradenton,FL,57523,SunTrust Bank,1-Aug-08,10010,,,
First Regional Bank,Los Angeles,CA,23011,First-Citizens Bank & Trust Company,29-Jan-10,10177,,,
First Security National Bank,Norcross,GA,26290,State Bank and Trust Company,4-Dec-09,10157,,,
First Southern Bank,Batesville,AR,58052,Southern Bank,17-Dec-10,10322,,,
First Southern National Bank,Statesboro,GA,57239,Heritage Bank of the South,19-Aug-11,10391,,,
First State Bank,Flagstaff,AZ,34875,Sunwest Bank,4-Sep-09,10114,,,
First State Bank,Cranford,NJ,58046,Northfield Bank,14-Oct-11,10403,,,
First State Bank,Sarasota,FL,27364,"Stearns Bank, N.A.",7-Aug-09,10098,,,
First State Bank of Altus,Altus,OK,9873,Herring Bank,31-Jul-09,10093,,,
First State Bank of Winchester,Winchester,IL,11710,The First National Bank of Beardstown,2-Jul-09,10077,,,
First Suburban National Bank,Maywood,IL,16089,Seaway Bank and Trust Company,22-Oct-10,10301,,,
First United Bank,Crete,IL,20685,"Old Plank Trail Community Bank, National Association",28-Sep-12,10459,1020.0,91275.0,-90255.0
First Vietnamese American Bank,Westminster,CA,57885,Grandpoint Bank,5-Nov-10,10307,,,
FirstBank Financial Services,McDonough,GA,57017,Regions Bank,6-Feb-09,10036,,,
FirstCity Bank,Stockbridge,GA,18243,No Acquirer,20-Mar-09,10047,,,
Flagship National Bank,Bradenton,FL,35044,First Federal Bank of Florida,23-Oct-09,10129,,,
Florida Community Bank,Immokalee,FL,5672,"Premier American Bank, N.A.",29-Jan-10,10181,,,
"Fort Lee Federal Savings Bank, FSB",Fort Lee,NJ,35527,Alma Bank,20-Apr-12,10433,3701.0,36378.0,-32677.0
Founders Bank,Worth,IL,18390,The PrivateBank and Trust Company,2-Jul-09,10074,,,
"Franklin Bank, SSB",Houston,TX,26870,Prosperity Bank,7-Nov-08,10021,,,
Freedom Bank,Bradenton,FL,57930,Fifth Third Bank,31-Oct-08,10019,,,
Freedom Bank of Georgia,Commerce,GA,57558,Northeast Georgia Bank,6-Mar-09,10044,,,
Frontier Bank,LaGrange,GA,16431,HeritageBank of the South,8-Mar-13,10471,99444.0,12221996.0,-12122552.0
Frontier Bank,Everett,WA,22710,"Union Bank, N.A.",30-Apr-10,10228,,,
"Frontier Bank, FSB D/B/A El Paseo Bank",Palm Desert,CA,34738,"Bank of Southern California, N.A.",7-Nov-14,10508,1127.0,132253.0,-131126.0
Gateway Bank of St. Louis,St. Louis,MO,19450,Central Bank of Kansas City,6-Nov-09,10146,,,
George Washington Savings Bank,Orland Park,IL,29952,"FirstMerit Bank, N.A.",19-Feb-10,10184,,,
Georgia Trust Bank,Buford,GA,57847,Community & Southern Bank,20-Jul-12,10451,2296.0,96636.0,-94340.0
Georgian Bank,Atlanta,GA,57151,"First Citizens Bank and Trust Company, Inc.",25-Sep-09,10122,,,
Glasgow Savings Bank,Glasgow,MO,1056,Regional Missouri Bank,13-Jul-12,10449,4645.0,45733.0,-41088.0
Global Commerce Bank,Doraville,GA,34046,Metro City Bank,2-Mar-12,10428,9347.0,350354.0,-341007.0
Gold Canyon Bank,Gold Canyon,AZ,58066,"First Scottsdale Bank, National Association",5-Apr-13,10472,1907.0,6.0,1901.0
"Granite Community Bank, NA",Granite Bay,CA,57315,Tri Counties Bank,28-May-10,10244,,,
Great Basin Bank of Nevada,Elko,NV,33824,Nevada State Bank,17-Apr-09,10051,,,
Greater Atlantic Bank,Reston,VA,32583,Sonabank,4-Dec-09,10156,,,
"GreenChoice Bank, fsb",Chicago,IL,28462,"Providence Bank, LLC",25-Jul-14,10505,1091.0,306870.0,-305779.0
Guaranty Bank,Austin,TX,32618,BBVA Compass,21-Aug-09,10105,,,
"Guaranty Bank, (d/b/a BestBank in Georgia & Michigan)",Milwaukee,WI,30003,First-Citizens Bank & Trust Company,5-May-17,10527,5118.0,245759.0,-240641.0
Guaranty National Bank of Tallahassee,Tallahassee,FL,26838,Hancock Bank of Florida,12-Mar-04,4663,,,
Gulf State Community Bank,Carrabelle,FL,20340,Centennial Bank,19-Nov-10,10316,,,
GulfSouth Private Bank,Destin,FL,58073,SmartBank,19-Oct-12,10462,2433.0,173626.0,-171193.0
Habersham Bank,Clarkesville,GA,151,SCBT National Association,18-Feb-11,10345,,,
"Hamilton Bank, NA",Miami,FL,24382,Israel Discount Bank of New York,11-Jan-02,4650,,,
HarVest Bank of Maryland,Gaithersburg,MD,57766,Sonabank,27-Apr-12,10435,1573.0,47051.0,-45478.0
Harvest Community Bank,Pennsville,NJ,34951,First-Citizens Bank & Trust Company,13-Jan-17,10523,6079.0,115367.0,-109288.0
Haven Trust Bank,Duluth,GA,35379,"Branch Banking & Trust Company, (BB&T)",12-Dec-08,10027,,,
Haven Trust Bank Florida,Ponte Vedra Beach,FL,58308,First Southern Bank,24-Sep-10,10293,,,
Heartland Bank,Leawood,KS,1361,Metcalf Bank,20-Jul-12,10452,1424.0,317134.0,-315710.0
Heritage Bank of Florida,Lutz,FL,35009,Centennial Bank,2-Nov-12,10465,1602.0,54794.0,-53192.0
Heritage Bank of North Florida,Orange Park,FL,26680,FirstAtlantic Bank,19-Apr-13,10475,1804.0,5828.0,-4024.0
Heritage Banking Group,Carthage,MS,14273,Trustmark National Bank,15-Apr-11,10354,,,
